的	DE_0;DI_1;DI_4;DI_2;DI_0
做贼心虚	ZUO_4 ZEI_2 XIN_1 XU_1
做贼	ZUO_4 ZEI_2
做绝	ZUO_4 JUE_2
做猪	ZUO_4 ZHU_1
做牌	ZUO_4 PAI_2
做旧	ZUO_4 JIU_4
做寿	ZUO_4 SHOU_4
做学问	ZUO_4 XUE_2 WEN_4
做书	ZUO_4 SHU_1
偏题	PIAN_1 TI_2
偏西	PIAN_1 XI_1
偏航	PIAN_1 HANG_2
偏累	PIAN_1 LEI_4
偏紫	PIAN_1 ZI_3
偏紧	PIAN_1 JIN_3
偏科	PIAN_1 KE_1
偏短	PIAN_1 DUAN_3
偏盲	PIAN_1 MANG_2
偏狭	PIAN_1 XIA_2
偏枯	PIAN_1 KU_1
偏析	PIAN_1 XI_1
偏斜	PIAN_1 XIE_2
偏掉	PIAN_1 DIAO_4
偏才	PIAN_1 CAI_2
偏左	PIAN_1 ZUO_3
偏头痛	PIAN_1 TOU_2 TONG_4
偏城	PIAN_1 CHENG_2
偏听	PIAN_1 TING_1
偏后	PIAN_1 HOU_4
偏历	PIAN_1 LI_4
偏关	PIAN_1 GUAN_1
偌大	RUO_4 DA_4
假面	JIA_3 MIAN_4
假酒	JIA_2 JIU_3;JIA_3 JIU_3
假眼	JIA_2 YAN_3
假植	JIA_3 ZHI_2
假案	JIA_3 AN_4
假想	JIA_2 XIANG_3;JIA_3 XIANG_3
假小子	JIA_2 XIAO_3 ZI_0
假大空	JIA_3 DA_4 KONG_1
假声	JIA_3 SHENG_1
假借	JIA_3 JIE_4
假体	JIA_2 TI_3
偃师	YAN_3 SHI_1
倾销	QING_1 XIAO_1
倾轧	QING_1 YA_4
倾覆	QING_1 FU_4
倾盆大雨	QING_1 PEN_2 DA_4 YU_3
倾力	QING_1 LI_4
值班员	ZHI_2 BAN_1 YUAN_2
值日	ZHI_2 RI_4
值得买	ZHI_2 DE_0 MAI_3
值完	ZHI_2 WAN_2
值勤	ZHI_2 QIN_2
值价	ZHI_2 JIA_4
债券	ZHAI_4 JUAN_4;ZHAI_4 QUAN_4
倮倮	LUO_3 LUO_3
倪萍	NI_2 PING_2
倦	JUAN_4
借问	JIE_4 WEN_4
借酒消愁	JIE_4 JIU_3 XIAO_1 CHOU_2
借读费	JIE_4 DU_2 FEI_4
借读	JIE_4 DU_2
借自	JIE_4 ZI_4
借据	JIE_4 JU_4
借年	JIE_4 NIAN_2
借回	JIE_4 HUI_2
借位	JIE_4 WEI_4
借亲	JIE_4 QIN_1
倚靠	YI_3 KAO_4
倚重	YI_3 ZHONG_4
倚天剑	YI_3 TIAN_1 JIAN_4
候马	HOU_4 MA_3
候机楼	HOU_4 JI_1 LOU_2
倒飞	DAO_3 FEI_1
倒霉蛋	DAO_3 MEI_2 DAN_4
倒错	DAO_3 CUO_4
倒转	DAO_4 ZHUAN_3
倒账	DAO_3 ZHANG_4
倒计时	DAO_4 JI_4 SHI_2;DAO_3 JI_4 SHI_2
倒角	DAO_4 JIAO_3
倒装	DAO_4 ZHUANG_1
倒爷	DAO_3 YE_2
倒灌	DAO_4 GUAN_4
倒斗	DAO_4 DOU_3
倒挂	DAO_4 GUA_4
倒戈	DAO_3 GE_1
倒影	DAO_4 YING_3
倒座	DAO_3 ZUO_4
倒床	DAO_3 CHUANG_2
倒位	DAO_3 WEI_4
倍率	BEI_4 LV_4
倍儿	BEI_4 ER_2
俸	FENG_4
俳	PAI_2
俯角	FU_2 JIAO_3
俯视	FU_3 SHI_4
俯瞰	FU_3 KAN_4
俯仰之间	FU_2 YANG_3 ZHI_1 JIAN_1
修金	XIU_1 JIN_1
修配	XIU_1 PEI_4
修道士	XIU_1 DAO_4 SHI_4
修辞	XIU_1 CI_2
修课	XIU_1 KE_4
修补	XIU_1 BU_3
修脸	XIU_1 LIAN_3
修罗	XIU_1 LUO_2
修缮	XIU_1 SHAN_4
修编	XIU_1 BIAN_1
修盖	XIU_1 GAI_4
修甲	XIU_1 JIA_3
修理店	XIU_1 LI_3 DIAN_4
修满	XIU_1 MAN_3
修泽	XIU_1 ZE_2
修水	XIU_1 SHUI_3
修改自己	XIU_1 GAI_3 ZI_4 JI_3
修掉	XIU_1 DIAO_4
修恩	XIU_1 EN_1
修女	XIU_1 NV_3
修加	XIU_1 JIA_1
修佛	XIU_1 FO_2
修会	XIU_1 HUI_4
俭用	JIAN_3 YONG_4
信风	XIN_4 FENG_1
信雄	XIN_4 XIONG_2
信远	XIN_4 YUAN_3
信贷部	XIN_4 DAI_4 BU_4
信贷员	XIN_4 DAI_4 YUAN_2
信访	XIN_4 FANG_3
信纸	XIN_4 ZHI_3
信约	XIN_4 YUE_1
信筒	XIN_4 TONG_3
信用贷款	XIN_4 YONG_4 DAI_4 KUAN_3
信用状	XIN_4 YONG_4 ZHUANG_4
信用支付	XIN_4 YONG_4 ZHI_1 FU_4
信用报告	XIN_4 YONG_4 BAO_4 GAO_4
信源	XIN_4 YUAN_2
信汇	XIN_4 HUI_4
信条	XIN_4 TIAO_2
信星座	XIN_4 XING_1 ZUO_4
信教	XIN_4 JIAO_4
信捷	XIN_4 JIE_2
信托	XIN_4 TUO_1
信才	XIN_4 CAI_2
信手拈来	XIN_4 SHOU_3 NIAN_1 LAI_2
信息系统集成	XIN_4 XI_1 XI_4 TONG_3 JI_2 CHENG_2
信息披露	XIN_4 XI_1 PI_1 LU_4
信息卡	XIN_4 XI_1 KA_3
信息交流	XIN_4 XI_1 JIAO_1 LIU_2
信州	XIN_4 ZHOU_1
信客	XIN_4 KE_4
信守	XIN_4 SHOU_3
信国	XIN_4 GUO_2
信和中心	XIN_4 HE_2 ZHONG_1 XIN_1
信号量	XIN_4 HAO_4 LIANG_4
信号线	XIN_4 HAO_4 XIAN_4
信号机	XIN_4 HAO_4 JI_1
信号山	XIN_4 HAO_4 SHAN_1
信友	XIN_4 YOU_3
信使	XIN_4 SHI_3
信令	XIN_4 LING_4
信丰县	XIN_4 FENG_1 XIAN_4
俞正声	YU_2 ZHENG_4 SHENG_1
保龙	BAO_3 LONG_2
保障范围	BAO_3 ZHANG_4 FAN_4 WEI_2
保障法	BAO_3 ZHANG_4 FA_3
保险金	BAO_2 XIAN_3 JIN_1;BAO_3 XIAN_3 JIN_1
保险网	BAO_3 XIAN_3 WANG_3
保险界	BAO_3 XIAN_3 JIE_4
保险柜	BAO_2 XIAN_3 GUI_4;BAO_3 XIAN_3 GUI_4
保险投资	BAO_3 XIAN_3 TOU_2 ZI_1
保险带	BAO_2 XIAN_3 DAI_4
保险产品	BAO_3 XIAN_3 CHAN_3 PIN_3
保通	BAO_3 TONG_1
保费收入	BAO_3 FEI_4 SHOU_1 RU_4
保荐人	BAO_3 JIAN_4 REN_2
保网	BAO_2 WANG_3
保结	BAO_3 JIE_2
保税仓	BAO_3 SHUI_4 CANG_1
保科	BAO_3 KE_1
保福寺	BAO_3 FU_2 SI_4
保留意见	BAO_3 LIU_2 YI_4 JIAN_4
保用	BAO_3 YONG_4
保特	BAO_3 TE_4
保泰	BAO_3 TAI_4
保民	BAO_3 MIN_2
保正	BAO_3 ZHENG_4
保教	BAO_3 JIAO_4
保收	BAO_3 SHOU_1
保持清醒	BAO_3 CHI_2 QING_1 XING_3
保持沉默	BAO_3 CHI_2 CHEN_2 MO_4
保持架	BAO_3 CHI_2 JIA_4
保持器	BAO_3 CHI_2 QI_4
保持健康	BAO_3 CHI_2 JIAN_4 KANG_1
保护自然	BAO_3 HU_4 ZI_4 RAN_2
保护网	BAO_3 HU_4 WANG_3
保护率	BAO_3 HU_4 LV_4
保护权	BAO_3 HU_4 QUAN_2
保护器	BAO_3 HU_4 QI_4
保护区	BAO_3 HU_4 QU_1
保护伞	BAO_3 HU_4 SAN_3
保息	BAO_3 XI_1
保康	BAO_3 KANG_1
保尔	BAO_2 ER_3;BAO_2 ER_0
保安警察	BAO_3 AN_1 JING_3 CHA_2
保安村	BAO_3 AN_1 CUN_1
保大	BAO_3 DA_4
保外	BAO_3 WAI_4
保和	BAO_3 HE_2
保命	BAO_3 MING_4
保卫处	BAO_3 WEI_4 CHU_4
保卡	BAO_2 KA_3
保博	BAO_3 BO_2
保华	BAO_3 HUA_2
保利大厦	BAO_3 LI_4 DA_4 SHA_4
保内	BAO_3 NEI_4
保养费	BAO_2 YANG_3 FEI_4
保健网	BAO_3 JIAN_4 WANG_3
保健站	BAO_3 JIAN_4 ZHAN_4
保健所	BAO_3 JIAN_4 SUO_3
保修卡	BAO_3 XIU_1 KA_3
保佑我	BAO_3 YOU_4 WO_3
保价	BAO_3 JIA_4
保产	BAO_3 CHAN_3
保中	BAO_3 ZHONG_1
俚语	LI_2 YU_3;LI_3 YU_3
俘虏	FU_2 LU_3
俗气	SU_2 QI_4;SU_2 QI_0
俗家	SU_2 JIA_1
俗事	SU_2 SHI_4
俐	LI_4
俏皮话	QIAO_4 PI_2 HUA_4
俏佳人	QIAO_4 JIA_1 REN_2
俊郎	JUN_4 LANG_2
俊逸	JUN_4 YI_4
俊达	JUN_4 DA_2
俊英	JUN_4 YING_1
俊杰	JUN_4 JIE_2
俊峰	JUN_4 FENG_1
俊宏	JUN_4 HONG_2
俊卿	JUN_4 QING_1
俊兰	JUN_4 LAN_2
俊俏	JUN_4 QIAO_4
促销员	CU_4 XIAO_1 YUAN_2
促膝长谈	CU_4 XI_1 CHANG_2 TAN_2
促动	CU_4 DONG_4
便衣	BIAN_4 YI_1
便当	BIAN_4 DANG_1;BIAN_4 DANG_0
便地	BIAN_4 DI_4
便人	PIAN_2 REN_2
便中	BIAN_4 ZHONG_1
侵袭	QIN_1 XI_2
侯马	HOU_4 MA_3;HOU_2 MA_3
侯勇	HOU_2 YONG_3
侨联	QIAO_2 LIAN_2
侨务	QIAO_2 WU_4
侨光	QIAO_2 GUANG_1
侨乡	QIAO_2 XIANG_1
侧边栏	CE_4 BIAN_1 LAN_2
侧记	CE_4 JI_4
侧方停车	CE_4 FANG_1 TING_2 CHE_1
侧向	CE_4 XIANG_4
侧卧	CE_4 WO_4
侦测	ZHEN_1 CE_4
侦探剧	ZHEN_1 TAN_4 JU_4
侦察	ZHEN_1 CHA_2
侥	JIAO_3;YAO_2
侠女	XIA_2 NV_3
依米	YI_1 MI_3
依然是你	YI_1 RAN_2 SHI_4 NI_3
依此	YI_1 CI_3
依兰县	YI_1 LAN_2 XIAN_4
依偎	YI_1 WEI_1
依依不舍	YI_1 YI_1 BU_4 SHE_3
依依	YI_1 YI_1
依云	YI_1 YUN_2
供销社	GONG_1 XIAO_1 SHE_4
供述	GONG_4 SHU_4
供股	GONG_1 GU_3
供稿	GONG_4 GAO_3
供热	GONG_1 RE_4
供油	GONG_1 YOU_2;GONG_4 YOU_2
供桌	GONG_4 ZHUO_1
供方	GONG_1 FANG_1;GONG_4 FANG_1
供料	GONG_1 LIAO_4
供应链管理	GONG_1 YING_4 LIAN_4 GUAN_2 LI_3
供应量	GONG_1 YING_4 LIANG_4
供奉	GONG_4 FENG_4
供养	GONG_1 YANG_3;GONG_4 YANG_3
侗	DONG_4;TONG_2;TONG_3
侍郎	SHI_4 LANG_2
侍女	SHI_4 NV_3
侍奉	SHI_4 FENG_4
侍卫长	SHI_4 WEI_4 ZHANG_3
侍卫	SHI_4 WEI_4
例证	LI_4 ZHENG_4
例案	LI_4 AN_4
例句	LI_4 JU_4
侃大山	KAN_3 DA_4 SHAN_1
侃	KAN_3
使节	SHI_3 JIE_2
使相	SHI_3 XIANG_1
使用者	SHI_3 YONG_4 ZHE_3
使用期	SHI_3 YONG_4 QI_1
使女	SHI_2 NV_3;SHI_3 NV_3
使团	SHI_3 TUAN_2
使唤	SHI_3 HUAN_4;SHI_3 HUAN_0
使劲儿	SHI_3 JIN_4 ER_2
佳隆	JIA_1 LONG_2
佳都	JIA_1 DU_1
佳达	JIA_1 DA_2
佳路	JIA_1 LU_4
佳英	JIA_1 YING_1
佳联	JIA_1 LIAN_2
佳的美	JIA_1 DE_0 MEI_3
佳瑶	JIA_1 YAO_2
佳泰	JIA_1 TAI_4
佳木	JIA_1 MU_4
佳景	JIA_1 JING_3
佳成	JIA_1 CHENG_2
佳惠	JIA_1 HUI_4
佳平	JIA_1 PING_2
佳安	JIA_1 AN_1
佳如	JIA_1 RU_2
佳友	JIA_1 YOU_3
佳儿	JIA_1 ER_2
佳偶	JIA_1 OU_3
佳信	JIA_1 XIN_4
佳伟	JIA_1 WEI_3
佳人有约	JIA_1 REN_2 YOU_3 YUE_1
佳乐	JIA_1 YUE_4
佳世客	JIA_1 SHI_4 KE_4
佯死	YANG_2 SI_3
佩里	PEI_4 LI_3
佩芬	PEI_4 FEN_1
佩玲	PEI_4 LING_2
佩尔	PEI_4 ER_3
佩兰	PEI_4 LAN_2
你若安好便是晴天	NI_3 RUO_4 AN_1 HAO_3 BIAN_4 SHI_4 QING_2 TIAN_1
你知道的太多了	NI_3 ZHI_1 DAO_4 DE_0 TAI_4 DUO_1 LE_0
你的香气	NI_3 DE_0 XIANG_1 QI_4
你的眼泪	NI_3 DE_0 YAN_3 LEI_4
你的承诺	NI_3 DE_0 CHENG_2 NUO_4
你猜猜	NI_3 CAI_1 CAI_1
你爱谁	NI_3 AI_4 SHUI_2
你最美	NI_3 ZUI_4 MEI_3
你最珍贵	NI_3 ZUI_4 ZHEN_1 GUI_4
你是这样的人	NI_3 SHI_4 ZHE_4 YANG_4 DE_0 REN_2
你是答案	NI_3 SHI_4 DA_2 AN_4
你是唯一	NI_3 SHI_4 WEI_2 YI_1
你快回来	NI_3 KUAI_4 HUI_2 LAI_2
你好毒	NI_2 HAO_3 DU_2
你在何地	NI_3 ZAI_4 HE_2 DI_4
你侬我侬	NI_3 NONG_2 WO_3 NONG_2
你们懂的	NI_3 MEN_0 DONG_3 DE_0
佟丽娅	TONG_2 LI_4 YA_4
佝偻	GOU_1 LOU_2
作部	ZUO_4 BU_4
作花	ZUO_4 HUA_1
作痛	ZUO_4 TONG_4
作死	ZUO_1 SI_3
作新	ZUO_4 XIN_1
作文题	ZUO_4 WEN_2 TI_2
作文课	ZUO_4 WEN_2 KE_4
作手	ZUO_4 SHOU_3
作成	ZUO_4 CHENG_2
作弄	ZUO_1 NONG_4;ZUO_4 NONG_4
作客	ZUO_4 KE_4
作孚	ZUO_4 FU_2
作坊	ZUO_1 FANG_0
作喜	ZUO_4 XI_3
作动	ZUO_4 DONG_4
作书	ZUO_4 SHU_1
作东	ZUO_4 DONG_1
作业题	ZUO_4 YE_4 TI_2
作业管理	ZUO_4 YE_4 GUAN_2 LI_3
佛香	FO_2 XIANG_1
佛说	FO_2 SHUO_1
佛语	FO_2 YU_3
佛诞	FO_2 DAN_4
佛脚	FO_2 JIAO_3
佛缘	FO_2 YUAN_2
佛祖	FO_2 ZU_3
佛理	FO_2 LI_3
佛教徒	FO_2 JIAO_4 TU_2
佛弟子	FO_2 DI_4 ZI_3
佛山大学	FO_2 SHAN_1 DA_4 XUE_2
佛图	FO_2 TU_2
佛利	FO_2 LI_4
佛冈	FO_2 GANG_1
佛光	FO_2 GUANG_1
余静	YU_2 JING_4
余粮	YU_2 LIANG_2
余留	YU_2 LIU_2
余温	YU_2 WEN_1
余波	YU_2 BO_1
余氯	YU_2 LV_4
余次	YU_2 CI_4
余杭站	YU_2 HANG_2 ZHAN_4
余文乐	YU_2 WEN_2 LE_4
余德泉	YU_2 DE_2 QUAN_2
余存	YU_2 CUN_2
余姚站	YU_2 YAO_2 ZHAN_4
余多	YU_2 DUO_1
余休	YU_2 XIU_1
余东	YU_2 DONG_1
佘	SHE_2
何雨	HE_2 YU_3
何适	HE_2 SHI_4
何超	HE_2 CHAO_1
何艳	HE_2 YAN_4
何穗	HE_2 SUI_4
何磊	HE_2 LEI_3
何真	HE_2 ZHEN_1
何用	HE_2 YONG_4
何生	HE_2 SHENG_1
何琳	HE_2 LIN_2
何玉华	HE_2 YU_4 HUA_2
何物	HE_2 WU_4
何润东	HE_2 RUN_4 DONG_1
何涛	HE_2 TAO_1
何海霞	HE_2 HAI_3 XIA_2
何波	HE_2 BO_1
何月	HE_2 YUE_4
何春	HE_2 CHUN_1
何明	HE_2 MING_2
何方神圣	HE_2 FANG_1 SHEN_2 SHENG_4
何敏	HE_2 MIN_3
何成	HE_2 CHENG_2
何意	HE_2 YI_4
何必当初	HE_2 BI_4 DANG_1 CHU_1
何幸	HE_2 XING_4
何干	HE_2 GAN_1
何山	HE_2 SHAN_1
何姓	HE_2 XING_4
何如	HE_2 RU_2
何处	HE_2 CHU_4;HE_2 CHU_3
何去何从	HE_2 QU_4 HE_2 CONG_2
何原因	HE_2 YUAN_2 YIN_1
何俊	HE_2 JUN_4
何仙姑	HE_2 XIAN_1 GU_1
何丽	HE_2 LI_4
何丹	HE_2 DAN_1
体验店	TI_3 YAN_4 DIAN_4
体长	TI_3 CHANG_2
体量	TI_3 LIANG_4
体重秤	TI_3 ZHONG_4 CHENG_4
体要	TI_3 YAO_4
体表	TI_2 BIAO_3;TI_3 BIAO_3
体育游戏	TI_3 YU_4 YOU_2 XI_4
体育活动	TI_3 YU_4 HUO_2 DONG_4
体育彩票	TI_3 YU_4 CAI_3 PIAO_4
体育吧	TI_3 YU_4 BA_1
体相	TI_3 XIANG_1
体温	TI_3 WEN_1
体测	TI_3 CE_4
体毛	TI_3 MAO_2
体检表	TI_2 JIAN_2 BIAO_3
体检卡	TI_2 JIAN_2 KA_3
体性	TI_3 XING_4
体弱多病	TI_3 RUO_4 DUO_1 BING_4
体坛	TI_3 TAN_2
体味	TI_3 WEI_4
体分	TI_3 FEN_1
体内	TI_3 NEI_4
体位	TI_3 WEI_4
佑佑	YOU_4 YOU_4
佐证	ZUO_3 ZHENG_4
住院费	ZHU_4 YUAN_4 FEI_4
住院医师	ZHU_4 YUAN_4 YI_1 SHI_1
住用	ZHU_4 YONG_4
住校生	ZHU_4 XIAO_4 SHENG_1
住持	ZHU_4 CHI_2
住宅楼	ZHU_4 ZHAI_2 LOU_2
住嘴	ZHU_4 ZUI_3
住世	ZHU_4 SHI_4
低首	DI_1 SHOU_3
低阶	DI_1 JIE_1
低速	DI_1 SU_4
低血糖	DI_1 XUE_4 TANG_2
低血压	DI_1 XUE_4 YA_1
低等	DI_1 DENG_3
低潮	DI_1 CHAO_2
低温	DI_1 WEN_1
低效	DI_1 XIAO_4
低微	DI_1 WEI_1
低年级	DI_1 NIAN_2 JI_2
低工资	DI_1 GONG_1 ZI_1
低峰	DI_1 FENG_1
低山	DI_1 SHAN_1
低姿态	DI_1 ZI_1 TAI_4
低声下气	DI_1 SHENG_1 XIA_4 QI_4
低品质	DI_1 PIN_3 ZHI_4
低压	DI_1 YA_1
低俗	DI_1 SU_2
低低	DI_1 DI_1
低买	DI_1 MAI_3
低不就	DI_1 BU_2 JIU_4
位移	WEI_4 YI_2
位相	WEI_4 XIANG_1
位点	WEI_4 DIAN_3
位温	WEI_4 WEN_1
位居	WEI_4 JU_1
位列	WEI_4 LIE_4
但求	DAN_4 QIU_2
但斌	DAN_4 BIN_1
似然	SI_4 RAN_2
似是而非	SI_4 SHI_4 ER_2 FEI_1
伸进来	SHEN_1 JIN_4 LAI_2
伸进	SHEN_1 JIN_4
伸头	SHEN_1 TOU_2
伸到	SHEN_1 DAO_4
伶伶	LING_2 LING_2
伴舞	BAN_4 WU_3
伴游	BAN_4 YOU_2
伴当	BAN_4 DANG_1
伴君	BAN_4 JUN_1
伴同	BAN_4 TONG_2
估测	GU_1 CE_4
估价师	GU_1 JIA_4 SHI_1
伯阳	BO_2 YANG_2
伯言	BO_2 YAN_2
伯尔尼	BO_2 ER_3 NI_2;BO_2 ER_0 NI_2
伯婆	BO_2 PO_2
伯仲之间	BO_2 ZHONG_4 ZHI_1 JIAN_1
伪满	WEI_2 MAN_3
伦巴	LUN_2 BA_1;LUN_2 BA_0
伤食	SHANG_1 SHI_2
伤肺	SHANG_1 FEI_4
伤痕累累	SHANG_1 HEN_2 LEI_2 LEI_3
伤患	SHANG_1 HUAN_4
传道授业	CHUAN_2 DAO_4 SHOU_4 YE_4
传遍	CHUAN_2 BIAN_4
传达室	CHUAN_2 DA_2 SHI_4
传祺	CHUAN_2 QI_2
传神	CHUAN_2 SHEN_2
传看	CHUAN_2 KAN_4
传略	ZHUAN_4 LVE_4
传歌	CHUAN_2 GE_1
传教	CHUAN_2 JIAO_4
传戒	CHUAN_2 JIE_4
传感	CHUAN_2 GAN_3
传志	CHUAN_2 ZHI_4
传家	CHUAN_2 JIA_1
传声筒	CHUAN_2 SHENG_1 TONG_3
传声	CHUAN_2 SHENG_1
传动	CHUAN_2 DONG_4
传入	CHUAN_2 RU_4
传人	CHUAN_2 REN_2
伟豪	WEI_3 HAO_2
伟良	WEI_3 LIANG_2
伟林	WEI_3 LIN_2
伟杰	WEI_3 JIE_2
伟晶	WEI_3 JING_1
伟星	WEI_3 XING_1
伟方	WEI_3 FANG_1
伟斌	WEI_3 BIN_1
伟成	WEI_3 CHENG_2
伟忠	WEI_3 ZHONG_1
伟康	WEI_3 KANG_1
伟峰	WEI_3 FENG_1
伟宏	WEI_3 HONG_2
伟刚	WEI_3 GANG_1
伞形	SAN_3 XING_2
伞包	SAN_3 BAO_1
伞下	SAN_3 XIA_4
会餐	HUI_4 CAN_1
会风	HUI_4 FENG_1
会议费	HUI_4 YI_4 FEI_4
会议决议	HUI_4 YI_4 JUE_2 YI_4
会计人	KUAI_4 JI_4 REN_2
会稽	KUAI_4 JI_1
会盟	HUI_4 MENG_2
会梦	HUI_4 MENG_4
会昌	HUI_4 CHANG_1
会意	HUI_4 YI_4
会客厅	HUI_4 KE_4 TING_1
会宁	HUI_4 NING_2
会友	HUI_4 YOU_3;HUI_4 YOU_0
会厌	HUI_4 YAN_4
会元	HUI_4 YUAN_2
会仙桥	HUI_4 XIAN_1 QIAO_2
会仙	HUI_4 XIAN_1
伙夫	HUO_3 FU_1
伙同	HUO_3 TONG_2
优闲	YOU_1 XIAN_2
优质股	YOU_1 ZHI_4 GU_3
优联	YOU_1 LIAN_2
优缺	YOU_1 QUE_1
优等	YOU_1 DENG_3
优秀教师	YOU_1 XIU_4 JIAO_4 SHI_1
优惠酒店	YOU_1 HUI_4 JIU_3 DIAN_4
优惠条件	YOU_1 HUI_4 TIAO_2 JIAN_4
优惠待遇	YOU_1 HUI_4 DAI_4 YU_4
优待证	YOU_1 DAI_4 ZHENG_4
优山美地	YOU_1 SHAN_1 MEI_3 DI_4
优势互补	YOU_1 SHI_4 HU_4 BU_3
优先股	YOU_1 XIAN_1 GU_3
优倍	YOU_1 BEI_4
优保	YOU_1 BAO_3
优于	YOU_1 YU_2
优乐	YOU_1 LE_4
众联	ZHONG_4 LIAN_2
众生相	ZHONG_4 SHENG_1 XIANG_4
众家	ZHONG_4 JIA_1
众合	ZHONG_4 HE_2
休闲外套	XIU_1 XIAN_2 WAI_4 TAO_4
休问	XIU_1 WEN_4
休门	XIU_1 MEN_2
休特	XIU_1 TE_4
休止	XIU_1 ZHI_3
休旅	XIU_1 LV_3
休憩	XIU_1 QI_4
休想	XIU_1 XIANG_3
休怪	XIU_1 GUAI_4
休养所	XIU_1 YANG_2 SUO_3;XIU_1 YANG_3 SUO_3
休会	XIU_1 HUI_4
休业	XIU_1 YE_4
伏流	FU_2 LIU_2
伏案	FU_2 AN_4
伏旱	FU_2 HAN_4
伊通	YI_1 TONG_1
伊萨	YI_1 SA_4
伊甸园	YI_1 DIAN_4 YUAN_2
伊犁河	YI_1 LI_2 HE_2
伊犁州	YI_1 LI_2 ZHOU_1
伊涵	YI_1 HAN_2
伊比利亚	YI_1 BI_3 LI_4 YA_4
伊朗队	YI_1 LANG_3 DUI_4
伊斯	YI_1 SI_1
伊思	YI_1 SI_1
伊州	YI_1 ZHOU_1
伊家	YI_1 JIA_1
伊利丹	YI_1 LI_4 DAN_1
伊兹	YI_1 ZI_1
伊优	YI_1 YOU_1
伊人	YI_1 REN_2
伊一	YI_1 YI_1
企鹅岛	QI_3 E_2 DAO_3
企来	QI_3 LAI_2
企协	QI_3 XIE_2
企划部	QI_3 HUA_2 BU_4
企业运营	QI_3 YE_4 YUN_4 YING_2
企业资质	QI_3 YE_4 ZI_1 ZHI_4
企业资源	QI_3 YE_4 ZI_1 YUAN_2
企业认证	QI_3 YE_4 REN_4 ZHENG_4
企业职工	QI_3 YE_4 ZHI_2 GONG_1
企业网	QI_3 YE_4 WANG_3
企业收入	QI_3 YE_4 SHOU_1 RU_4
企业广场	QI_3 YE_4 GUANG_2 CHANG_3
企业年金	QI_3 YE_4 NIAN_2 JIN_1
企业展示	QI_3 YE_4 ZHAN_3 SHI_4
企业官网	QI_3 YE_4 GUAN_1 WANG_3
企业安全	QI_3 YE_4 AN_1 QUAN_2
企业型	QI_3 YE_4 XING_2
企业咨询	QI_3 YE_4 ZI_1 XUN_2
企业化	QI_3 YE_4 HUA_4
企业信用	QI_3 YE_4 XIN_4 YONG_4
仿造	FANG_3 ZAO_4
仿真	FANG_3 ZHEN_1
仿生	FANG_3 SHENG_1
份饭	FEN_4 FAN_4
份量	FEN_4 LIANG_4;FEN_4 LIANG_0
份文件	FEN_4 WEN_2 JIAN_4
任飞	REN_2 FEI_1
任静	REN_2 JING_4
任满	REN_4 MAN_3
任泉	REN_2 QUAN_2
任正非	REN_4 ZHENG_4 FEI_1
任情	REN_4 QING_2
任平	REN_2 PING_2
任官	REN_4 GUAN_1
任子	REN_4 ZI_3
任地	REN_4 DI_4
任君	REN_4 JUN_1
任可	REN_4 KE_3
任勇	REN_2 YONG_3
任务书	REN_4 WU_4 SHU_1;REN_4 WU_0 SHU_1
任凭	REN_4 PING_2
任之	REN_4 ZHI_1
价目	JIA_4 MU_4
价电子	JIA_4 DIAN_4 ZI_3
价格带	JIA_4 GE_2 DAI_4
价格体系	JIA_4 GE_2 TI_3 XI_4
价值量	JIA_4 ZHI_2 LIANG_4
价值连城	JIA_4 ZHI_2 LIAN_2 CHENG_2
仲量联行	ZHONG_4 LIANG_4 LIAN_2 HANG_2
仲华	ZHONG_4 HUA_2
仲元	ZHONG_4 YUAN_2
仰脖	YANG_3 BO_2
仰头	YANG_3 TOU_2
仰天	YANG_3 TIAN_1
仰卧起坐	YANG_3 WO_4 QI_3 ZUO_4
仰仗	YANG_3 ZHANG_4
仰之	YANG_3 ZHI_1
仪表盘	YI_2 BIAO_3 PAN_2
仪态	YI_2 TAI_4
仪化	YI_2 HUA_4
仨人	SAN_1 REN_2
以近	YI_3 JIN_4
以轩	YI_3 XUAN_1
以诺	YI_3 NUO_4
以示	YI_3 SHI_4
以理服人	YI_2 LI_3 FU_2 REN_2;YI_3 LI_3 FU_2 REN_2
以权	YI_3 QUAN_2
以月	YI_3 YUE_4
以图	YI_3 TU_2
以勒	YI_3 LE_4
令牌	LING_4 PAI_2
令公	LING_4 GONG_1
令人发指	LING_4 REN_2 FA_4 ZHI_3
代际	DAI_4 JI_4
代金券	DAI_4 JIN_1 QUAN_4
代课教师	DAI_4 KE_4 JIAO_4 SHI_1
代订	DAI_4 DING_4
代表团	DAI_4 BIAO_3 TUAN_2
代管	DAI_4 GUAN_3
代王	DAI_4 WANG_2
代替品	DAI_4 TI_4 PIN_3
代收费	DAI_4 SHOU_1 FEI_4
代帐	DAI_4 ZHANG_4
代官山	DAI_4 GUAN_1 SHAN_1
代孕妈妈	DAI_4 YUN_4 MA_1 MA_0
代培	DAI_4 PEI_2
代国	DAI_4 GUO_2
代取	DAI_4 QU_3
代县	DAI_4 XIAN_4
代办点	DAI_4 BAN_4 DIAN_3
代付款	DAI_4 FU_4 KUAN_3
仙阁	XIAN_1 GE_2
仙都	XIAN_1 DOU_1
仙草	XIAN_1 CAO_3
仙玉	XIAN_1 YU_4
